url_path,views_total,views_unique
/deKCD/Training-Materials,22,4
/deKCD/Training-Materials/tree/main/_tutorials,6,2
/deKCD/Training-Materials/blob/main/bin/pdf2quarto.py,4,2
/deKCD/Training-Materials/blob/main/CONTRIBUTING.md,4,1
/deKCD/Training-Materials/tree/main,4,1
/deKCD/Training-Materials/tree/main/bin,3,2
/deKCD/Training-Materials/commits/main,3,1
/deKCD/Training-Materials/blob/main/upcoming.md,2,2
/deKCD/Training-Materials/commit/dd4ed0c4f32117273200fab4f043ae34a990befc,2,1
/deKCD/Training-Materials/commits,2,1
