url_path,views_total,views_unique
/deKCD/Training-Materials,48,5
/deKCD/Training-Materials/branches,30,1
/deKCD/Training-Materials/tree/github-repo-stats,12,2
/deKCD/Training-Materials/tree/github-repo-stats/deKCD/Training-Materials,11,2
/deKCD/Training-Materials/branches/yours,11,1
/deKCD/Training-Materials/tree/github-repo-stats/deKCD/Training-Materials/latest-report,6,1
/deKCD/Training-Materials/blob/github-repo-stats/deKCD/Training-Materials/latest-report/report.pdf,5,1
/deKCD/Training-Materials/issues,4,1
/deKCD/Training-Materials/tree/test_slides,4,1
/deKCD/Training-Materials/tree/add_slides,3,1
