url_path,views_total,views_unique
/deKCD/Training-Materials,61,5
/deKCD/Training-Materials/branches,30,1
/deKCD/Training-Materials/issues,13,2
/deKCD/Training-Materials/tree/github-repo-stats,12,2
/deKCD/Training-Materials/tree/github-repo-stats/deKCD/Training-Materials,11,2
/deKCD/Training-Materials/branches/yours,11,1
/deKCD/Training-Materials/pulls,7,3
/deKCD/Training-Materials/tree/github-repo-stats/deKCD/Training-Materials/latest-report,6,1
/deKCD/Training-Materials/pull/38,5,2
/deKCD/Training-Materials/blob/github-repo-stats/deKCD/Training-Materials/latest-report/report.pdf,5,1
