url_path,views_total,views_unique
/deKCD/Training-Materials,38,5
/deKCD/Training-Materials/tree/github-repo-stats,12,2
/deKCD/Training-Materials/tree/github-repo-stats/deKCD/Training-Materials,11,2
/deKCD/Training-Materials/tree/github-repo-stats/deKCD/Training-Materials/latest-report,6,1
/deKCD/Training-Materials/blob/github-repo-stats/deKCD/Training-Materials/latest-report/report.pdf,5,1
/deKCD/Training-Materials/issues,4,1
/deKCD/Training-Materials/tree/github-repo-stats/deKCD/Training-Materials/ghrs-data,3,1
/deKCD/Training-Materials/tree/main,3,1
/deKCD/Training-Materials/actions,2,2
/deKCD/Training-Materials/actions/workflows/github-repo-stats.yml,2,2
