time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-04 00:00:00+00:00,5,4,13,1
2026-09-05 00:00:00+00:00,5,5,0,0
2026-09-06 00:00:00+00:00,16,2,0,0
2026-09-07 00:00:00+00:00,12,5,46,3
2026-09-08 00:00:00+00:00,3,3,13,3
2026-09-09 00:00:00+00:00,2,2,0,0
2026-09-10 00:00:00+00:00,2,2,2,1
2026-09-11 00:00:00+00:00,2,2,1,1
2026-09-12 00:00:00+00:00,2,2,0,0
2026-09-13 00:00:00+00:00,2,2,0,0
2026-09-14 00:00:00+00:00,2,2,2,1
2026-09-15 00:00:00+00:00,14,7,1,1
2026-09-16 00:00:00+00:00,23,12,8,2
2026-09-17 00:00:00+00:00,5,5,5,1
