url_path,views_total,views_unique
/deKCD/Training-Materials,28,5
/deKCD/Training-Materials/tree/github-repo-stats,7,2
/deKCD/Training-Materials/tree/github-repo-stats/deKCD/Training-Materials,5,2
/deKCD/Training-Materials/tree/main/_tutorials,5,2
/deKCD/Training-Materials/blob/main/bin/pdf2quarto.py,4,2
/deKCD/Training-Materials/tree/main,3,2
/deKCD/Training-Materials/tree/main/bin,3,2
/deKCD/Training-Materials/blob/main/CONTRIBUTING.md,3,1
/deKCD/Training-Materials/tree/github-repo-stats/deKCD/Training-Materials/latest-report,3,1
/deKCD/Training-Materials/blob/main/upcoming.md,2,2
